RegionID,SizeRank,RegionName,RegionType,StateName,date,zhvi,year,month,year_month
47,4,Pennsylvania,state,,2015-06-30,162955.4047412496,2015,6,2015-06
21,5,Illinois,state,,2015-06-30,165388.9922531665,2015,6,2015-06
44,6,Ohio,state,,2015-06-30,121964.51573136302,2015,6,2015-06
16,7,Georgia,state,,2015-06-30,156833.29235411022,2015,6,2015-06
36,8,North Carolina,state,,2015-06-30,164184.38735113354,2015,6,2015-06
30,9,Michigan,state,,2015-06-30,128353.84936685424,2015,6,2015-06
40,10,New Jersey,state,,2015-06-30,299917.9389202369,2015,6,2015-06
56,11,Virginia,state,,2015-06-30,241780.13910407168,2015,6,2015-06
59,12,Washington,state,,2015-06-30,279963.50159950025,2015,6,2015-06
8,13,Arizona,state,,2015-06-30,203260.50814148437,2015,6,2015-06
26,14,Massachusetts,state,,2015-06-30,346956.85985189816,2015,6,2015-06
53,15,Tennessee,state,,2015-06-30,154374.51307531542,2015,6,2015-06
22,16,Indiana,state,,2015-06-30,123731.4961021136,2015,6,2015-06
27,17,Maryland,state,,2015-06-30,277797.1030696132,2015,6,2015-06
32,18,Missouri,state,,2015-06-30,136033.3222882543,2015,6,2015-06
60,19,Wisconsin,state,,2015-06-30,163898.25550262097,2015,6,2015-06
10,20,Colorado,state,,2015-06-30,291920.83099175023,2015,6,2015-06
31,21,Minnesota,state,,2015-06-30,196736.5880539688,2015,6,2015-06
51,22,South Carolina,state,,2015-06-30,155853.79875654835,2015,6,2015-06
4,23,Alabama,state,,2015-06-30,136824.0157292351,2015,6,2015-06
25,24,Louisiana,state,,2015-06-30,177087.57487413063,2015,6,2015-06
24,25,Kentucky,state,,2015-06-30,120620.02036250832,2015,6,2015-06
46,26,Oregon,state,,2015-06-30,262427.611925068,2015,6,2015-06
45,27,Oklahoma,state,,2015-06-30,124152.11797607433,2015,6,2015-06
11,28,Connecticut,state,,2015-06-30,241288.6761731256,2015,6,2015-06
55,30,Utah,state,,2015-06-30,240707.6927343531,2015,6,2015-06
19,31,Iowa,state,,2015-06-30,135489.63228549968,2015,6,2015-06
42,32,Nevada,state,,2015-06-30,211047.9012684829,2015,6,2015-06
6,33,Arkansas,state,,2015-06-30,128053.81834245355,2015,6,2015-06
34,34,Mississippi,state,,2015-06-30,128064.13678749168,2015,6,2015-06
23,35,Kansas,state,,2015-06-30,128516.30798863336,2015,6,2015-06
41,36,New Mexico,state,,2015-06-30,171658.52539254015,2015,6,2015-06
38,37,Nebraska,state,,2015-06-30,143718.36906753495,2015,6,2015-06
20,38,Idaho,state,,2015-06-30,190440.1625403129,2015,6,2015-06
61,39,West Virginia,state,,2015-06-30,108694.6951588221,2015,6,2015-06
18,40,Hawaii,state,,2015-06-30,506439.0346245176,2015,6,2015-06
39,41,New Hampshire,state,,2015-06-30,229718.81821172143,2015,6,2015-06
28,42,Maine,state,,2015-06-30,187895.1553952862,2015,6,2015-06
50,43,Rhode Island,state,,2015-06-30,235947.3626349829,2015,6,2015-06
35,44,Montana,state,,2015-06-30,215311.95130599453,2015,6,2015-06
13,45,Delaware,state,,2015-06-30,238757.15940050455,2015,6,2015-06
52,46,South Dakota,state,,2015-06-30,171388.10961738756,2015,6,2015-06
37,47,North Dakota,state,,2015-06-30,222115.9099438793,2015,6,2015-06
3,48,Alaska,state,,2015-06-30,273199.52114335966,2015,6,2015-06
12,49,District of Columbia,state,,2015-06-30,481034.1170331671,2015,6,2015-06
58,50,Vermont,state,,2015-06-30,231336.85590263896,2015,6,2015-06
62,51,Wyoming,state,,2015-06-30,223726.14519083244,2015,6,2015-06
9,0,California,state,,2015-07-31,421995.5980903832,2015,7,2015-07
54,1,Texas,state,,2015-07-31,170934.85905881113,2015,7,2015-07
14,2,Florida,state,,2015-07-31,183245.51867525923,2015,7,2015-07
43,3,New York,state,,2015-07-31,273639.54155826074,2015,7,2015-07
47,4,Pennsylvania,state,,2015-07-31,163599.5025524717,2015,7,2015-07
21,5,Illinois,state,,2015-07-31,166057.55755204,2015,7,2015-07
44,6,Ohio,state,,2015-07-31,122648.8493817696,2015,7,2015-07
16,7,Georgia,state,,2015-07-31,157833.73398655202,2015,7,2015-07
36,8,North Carolina,state,,2015-07-31,164870.7249333074,2015,7,2015-07
30,9,Michigan,state,,2015-07-31,129179.67634062163,2015,7,2015-07
40,10,New Jersey,state,,2015-07-31,300684.2997225589,2015,7,2015-07
56,11,Virginia,state,,2015-07-31,242399.18541070688,2015,7,2015-07
59,12,Washington,state,,2015-07-31,282032.1764783876,2015,7,2015-07
8,13,Arizona,state,,2015-07-31,204723.7989034973,2015,7,2015-07
26,14,Massachusetts,state,,2015-07-31,348295.79431608674,2015,7,2015-07
53,15,Tennessee,state,,2015-07-31,155375.68015420853,2015,7,2015-07
22,16,Indiana,state,,2015-07-31,124258.68709835528,2015,7,2015-07
27,17,Maryland,state,,2015-07-31,278413.9259833393,2015,7,2015-07
32,18,Missouri,state,,2015-07-31,136761.72787072227,2015,7,2015-07
60,19,Wisconsin,state,,2015-07-31,164409.6111919872,2015,7,2015-07
10,20,Colorado,state,,2015-07-31,294808.0442611728,2015,7,2015-07
31,21,Minnesota,state,,2015-07-31,197563.15301812103,2015,7,2015-07
51,22,South Carolina,state,,2015-07-31,156692.11877508767,2015,7,2015-07
4,23,Alabama,state,,2015-07-31,137188.167170887,2015,7,2015-07
25,24,Louisiana,state,,2015-07-31,177660.58804596038,2015,7,2015-07
24,25,Kentucky,state,,2015-07-31,121159.86104803048,2015,7,2015-07
46,26,Oregon,state,,2015-07-31,264653.235816205,2015,7,2015-07
45,27,Oklahoma,state,,2015-07-31,124405.23235975415,2015,7,2015-07
11,28,Connecticut,state,,2015-07-31,241616.47127848532,2015,7,2015-07
55,30,Utah,state,,2015-07-31,242676.00929044,2015,7,2015-07
19,31,Iowa,state,,2015-07-31,135891.7132363152,2015,7,2015-07
42,32,Nevada,state,,2015-07-31,213279.95670981347,2015,7,2015-07
6,33,Arkansas,state,,2015-07-31,128554.93709738585,2015,7,2015-07
34,34,Mississippi,state,,2015-07-31,129052.02449792334,2015,7,2015-07
23,35,Kansas,state,,2015-07-31,129012.76301715116,2015,7,2015-07
41,36,New Mexico,state,,2015-07-31,171881.85906598283,2015,7,2015-07
38,37,Nebraska,state,,2015-07-31,144399.50369126166,2015,7,2015-07
20,38,Idaho,state,,2015-07-31,191720.04553281167,2015,7,2015-07
61,39,West Virginia,state,,2015-07-31,109111.40721036973,2015,7,2015-07
18,40,Hawaii,state,,2015-07-31,509063.5414445684,2015,7,2015-07
39,41,New Hampshire,state,,2015-07-31,230835.5767304042,2015,7,2015-07
28,42,Maine,state,,2015-07-31,188997.2606281714,2015,7,2015-07
50,43,Rhode Island,state,,2015-07-31,236841.27560983607,2015,7,2015-07
35,44,Montana,state,,2015-07-31,216688.89886685507,2015,7,2015-07
13,45,Delaware,state,,2015-07-31,239716.5903244251,2015,7,2015-07
52,46,South Dakota,state,,2015-07-31,172084.55684122178,2015,7,2015-07
37,47,North Dakota,state,,2015-07-31,223291.928564454,2015,7,2015-07
3,48,Alaska,state,,2015-07-31,274257.48777144233,2015,7,2015-07
12,49,District of Columbia,state,,2015-07-31,484141.3045592224,2015,7,2015-07
58,50,Vermont,state,,2015-07-31,232100.3247400958,2015,7,2015-07
62,51,Wyoming,state,,2015-07-31,225150.156970182,2015,7,2015-07
9,0,California,state,,2015-08-31,423192.7037876146,2015,8,2015-08
54,1,Texas,state,,2015-08-31,172144.0969917423,2015,8,2015-08
14,2,Florida,state,,2015-08-31,184797.56930022404,2015,8,2015-08
43,3,New York,state,,2015-08-31,274964.44364280504,2015,8,2015-08
47,4,Pennsylvania,state,,2015-08-31,164339.49973327448,2015,8,2015-08
21,5,Illinois,state,,2015-08-31,166654.3618925202,2015,8,2015-08
44,6,Ohio,state,,2015-08-31,123369.33771003092,2015,8,2015-08
16,7,Georgia,state,,2015-08-31,158871.74845185052,2015,8,2015-08
36,8,North Carolina,state,,2015-08-31,165583.81034942772,2015,8,2015-08
30,9,Michigan,state,,2015-08-31,129945.6727323266,2015,8,2015-08
40,10,New Jersey,state,,2015-08-31,301659.24419419066,2015,8,2015-08
56,11,Virginia,state,,2015-08-31,243158.4435969978,2015,8,2015-08
